CODE,NAME,DISEASE,BASE_ANTIGEN,INTRO_YEAR,CASES_BEFORE,CASES_AFTER,ABS_CHANGE,PCT_CHANGE
CPV,Cabo Verde,POLIO,IPV1,2014.0,4.636363636363637,0.0,-4.636363636363637,-100.0
CPV,Cabo Verde,POLIO,IPV1_FRAC,2018.0,4.135135135135135,0.0,-4.135135135135135,-100.0
CPV,Cabo Verde,POLIO,IPV2,2021.0,3.825,0.0,-3.825,-100.0
CPV,Cabo Verde,POLIO,IPV2_FRAC,2018.0,4.135135135135135,0.0,-4.135135135135135,-100.0
CRI,Costa Rica,POLIO,IPV1,2014.0,0.0,0.0,0.0,
CRI,Costa Rica,POLIO,IPV1_FRAC,2018.0,0.0,0.0,0.0,
CRI,Costa Rica,POLIO,IPV2,2020.0,0.0,0.0,0.0,
CRI,Costa Rica,POLIO,IPV2_FRAC,2018.0,0.0,0.0,0.0,
CUB,Cuba,POLIO,IPV1,2014.0,0.0,0.0,0.0,
CUB,Cuba,POLIO,IPV1_FRAC,2018.0,0.0,0.0,0.0,
CUB,Cuba,POLIO,IPV2,2020.0,0.0,0.0,0.0,
CUB,Cuba,POLIO,IPV2_FRAC,2018.0,0.0,0.0,0.0,
CYM,Cayman Islands,POLIO,IPV1,2017.0,0.0,0.0,0.0,
CYM,Cayman Islands,POLIO,IPV1_FRAC,2018.0,0.0,0.0,0.0,
CYM,Cayman Islands,POLIO,IPV2,2020.0,0.0,0.0,0.0,
CYM,Cayman Islands,POLIO,IPV2_FRAC,2018.0,0.0,0.0,0.0,
CYP,Cyprus,POLIO,IPV1,2014.0,0.058823529411764705,0.0,-0.058823529411764705,-100.0
CYP,Cyprus,POLIO,IPV1_FRAC,2018.0,0.05263157894736842,0.0,-0.05263157894736842,-100.0
CYP,Cyprus,POLIO,IPV2_FRAC,2018.0,0.05263157894736842,0.0,-0.05263157894736842,-100.0
CZE,Czechia,POLIO,IPV1,2014.0,0.0,0.0,0.0,
CZE,Czechia,POLIO,IPV1_FRAC,2018.0,0.0,0.0,0.0,
CZE,Czechia,POLIO,IPV2_FRAC,2018.0,0.0,0.0,0.0,
DEU,Germany,POLIO,IPV1,2014.0,1.6176470588235294,0.125,-1.4926470588235294,-92.27272727272727
